age,gender,annual_income,policy_type,premium_amount,incident_type,incident_hour,num_witnesses,police_report,previous_claims,vehicle_age,region_risk,claim_amount,claim_frequency,claim_to_premium_ratio,fraud_label
64,Female,818821,Gold,52951,Fire,1,0,0,7,5,0.850780371,282663.1985,0.14893617,5.338203216,1
42,Female,241954,Basic,12160,Fire,9,0,0,2,2,0.149604546,64642.12974,0.08,5.315964616,1
19,Male,551863,Basic,24929,Theft,19,4,1,6,9,0.133948677,97313.05245,3,3.903608346,0
27,Female,864164,Gold,22597,Theft,14,5,0,8,12,0.191537582,133864.5659,0.8,5.923997251,1
47,Female,1996641,Premium,16123,Collision,9,5,1,10,14,0.282126875,74822.54403,0.333333333,4.640733364,0
67,Female,462739,Gold,54570,Other,18,4,0,4,2,0.133871823,285925.2165,0.08,5.239604481,0
62,Male,1540312,Gold,33357,Theft,21,0,0,10,12,0.16445502,174705.1608,0.222222222,5.237436245,1
22,Female,1813507,Premium,9960,Collision,12,0,1,7,11,0.375450843,39770.45322,1.4,3.993017392,1
50,Female,1503369,Gold,38556,Other,23,1,0,3,10,0.189811614,210711.0674,0.090909091,5.465065551,1
18,Female,524809,Gold,23255,Theft,10,1,0,0,8,0.821866399,61436.55625,0,2.641864384,0
35,Male,1138327,Gold,18350,Fire,21,2,0,0,5,0.14848065,96703.02522,0,5.269919631,1
49,Male,468116,Basic,35881,Other,1,3,1,5,14,0.917136502,156604.4141,0.15625,4.364549876,0
64,Female,1526602,Basic,23409,Fire,20,1,0,7,7,0.88375559,111603.9292,0.14893617,4.767565004,1
66,Male,1970330,Basic,37635,Collision,12,1,1,9,3,0.287545929,87911.56253,0.183673469,2.335899097,1
28,Male,664271,Gold,7446,Theft,21,1,0,1,3,0.164374347,16127.03079,0.090909091,2.165865,0
38,Male,1927705,Premium,35657,Collision,21,1,0,10,7,0.194981541,210098.0436,0.476190476,5.892196304,1
43,Female,749308,Basic,26207,Theft,20,4,0,3,6,0.603179413,82129.95963,0.115384615,3.133893984,0
42,Female,1160252,Premium,53951,Theft,0,2,1,2,4,0.640824166,268145.1652,0.08,4.970161169,0
39,Male,564765,Gold,13752,Fire,4,1,1,8,1,0.384024507,71879.78556,0.363636364,5.226860498,0
44,Male,244912,Basic,56803,Collision,20,5,1,2,5,0.367150301,227971.9899,0.074074074,4.013379396,0
66,Male,212879,Gold,18440,Fire,21,3,0,10,0,0.578351142,93201.08607,0.204081633,5.054288832,0
30,Female,758086,Premium,49864,Fire,6,1,0,7,6,0.37506524,106124.8074,0.538461538,2.128285084,0
50,Female,1880655,Basic,54691,Fire,12,4,0,6,14,0.940887545,188253.7337,0.181818182,3.44213369,0
51,Male,1731618,Basic,11499,Collision,12,5,1,0,8,0.444368601,49171.58566,0,4.276161898,0
58,Male,901433,Basic,26139,Theft,19,0,0,7,4,0.297832374,142417.4123,0.170731707,5.448464452,1
52,Male,1586511,Basic,19767,Theft,22,0,0,8,4,0.231368362,100159.3994,0.228571429,5.067000524,0
18,Male,687947,Premium,27343,Collision,20,2,1,7,11,0.668537374,84664.53637,7,3.096387974,1
38,Female,858210,Basic,32712,Theft,5,0,0,9,6,0.393995454,194443.6352,0.428571429,5.944107214,1
65,Male,359472,Gold,24673,Collision,19,1,1,9,4,0.269915349,115972.0672,0.1875,4.700363443,0
23,Female,998385,Basic,59698,Collision,11,4,0,0,9,0.348233972,213757.3979,0,3.580645882,1
45,Male,830698,Premium,34488,Theft,7,2,0,10,11,0.377093416,180024.7701,0.357142857,5.219924904,0
34,Male,1898019,Basic,31520,Other,8,5,0,10,11,0.663250124,143768.467,0.588235294,4.561182329,1
22,Male,1403183,Premium,49105,Fire,17,1,0,6,3,0.25721335,223613.4502,1.2,4.553781697,0
48,Male,1979472,Premium,53587,Collision,10,0,0,8,0,0.759523389,224661.7756,0.258064516,4.192467867,0
22,Male,1716831,Gold,20784,Collision,19,3,1,4,5,0.374394041,54543.87798,0.8,2.624320534,0
55,Female,1501288,Basic,56910,Other,10,1,0,1,13,0.539478632,217054.5737,0.026315789,3.813997078,0
20,Male,1252631,Basic,43079,Collision,23,3,0,7,8,0.689355109,127901.3584,2.333333333,2.968995528,1
40,Male,500314,Basic,49220,Collision,23,5,1,8,3,0.589258096,199608.3891,0.347826087,4.055432529,0
54,Male,1242835,Gold,25491,Theft,14,3,1,6,9,0.696010188,64533.34334,0.162162162,2.531612857,0
54,Female,429016,Gold,52342,Theft,8,5,1,11,10,0.390335953,148579.207,0.297297297,2.838623036,1
27,Female,1538971,Premium,56047,Other,2,2,0,4,3,0.967104927,272876.4008,0.4,4.868706635,0
27,Female,860284,Premium,53720,Collision,16,4,1,7,4,0.513090749,180164.5344,0.7,3.353770186,0
36,Female,1296613,Premium,40268,Fire,16,0,1,5,14,0.389740249,183429.8791,0.263157895,4.555226957,1
34,Male,292115,Gold,19718,Theft,2,0,1,11,14,0.366754565,92343.30619,0.647058824,4.683198407,0
38,Male,1720608,Gold,40597,Fire,18,1,1,3,5,0.138425473,123220.6435,0.142857143,3.035215496,0
31,Male,682870,Gold,37815,Fire,8,0,0,0,14,0.716325282,138622.7084,0,3.66581273,1
26,Female,1318976,Premium,40132,Other,16,2,1,5,2,0.336263749,199319.6571,0.555555556,4.966601643,1
63,Male,1872389,Gold,31832,Other,22,0,1,7,8,0.963037186,98103.64932,0.152173913,3.081919116,1
18,Male,563308,Premium,59818,Collision,17,1,0,2,0,0.289400271,193566.6559,2,3.235926576,0
68,Female,1472033,Premium,36862,Other,22,0,0,11,10,0.576542074,106663.5001,0.215686275,2.893589608,1
62,Female,1997038,Basic,17864,Theft,14,4,1,6,5,0.76192363,63390.55874,0.133333333,3.548508662,1
30,Female,341774,Basic,27842,Collision,0,5,0,11,5,0.883103765,159335.8981,0.846153846,5.722861076,0
21,Male,1093164,Basic,13177,Collision,9,3,1,6,7,0.240814804,73679.36217,1.5,5.591512649,0
18,Male,215385,Premium,51115,Fire,7,3,0,8,4,0.986861386,167061.8828,8,3.268353375,0
66,Female,1148729,Basic,45699,Fire,9,5,0,0,8,0.916074087,96749.70039,0,2.117107604,0
57,Male,1808885,Basic,56954,Fire,1,3,1,4,8,0.96656479,191106.891,0.1,3.355460388,0
49,Female,708670,Basic,50609,Collision,18,4,0,7,11,0.867403684,248137.8969,0.21875,4.903038924,1
51,Female,317369,Gold,16844,Other,13,2,0,2,1,0.889902305,31717.13597,0.058823529,1.882993112,0
45,Male,944990,Premium,13594,Other,7,1,1,4,4,0.638946024,68919.64487,0.142857143,5.069857648,1
48,Female,1821975,Basic,18418,Other,18,4,1,0,11,0.860779057,83217.32442,0,4.518260638,1
25,Female,289402,Gold,39854,Collision,0,1,0,8,6,0.580612022,85087.07582,1,2.134969534,0
56,Female,844062,Gold,28108,Collision,15,2,0,3,1,0.584395454,118628.309,0.076923077,4.220446457,0
43,Male,453724,Gold,15419,Collision,23,4,1,4,6,0.606322083,50548.39802,0.153846154,3.278318829,0
51,Female,939945,Basic,27539,Collision,14,0,0,2,8,0.996686132,67837.54175,0.058823529,2.463326255,1
20,Female,1476176,Gold,49370,Collision,19,2,1,1,7,0.193955356,155061.4877,0.333333333,3.140803884,0
67,Female,904397,Premium,48950,Other,23,3,0,11,9,0.825048981,134639.9235,0.22,2.750560236,1
29,Female,1721895,Gold,17835,Collision,4,4,0,6,8,0.345981271,98576.31636,0.5,5.527127354,0
18,Female,1898559,Gold,22533,Other,2,2,1,10,13,0.425104374,122177.4896,10,5.42215815,1
61,Female,334585,Gold,54214,Collision,16,2,1,4,3,0.172479932,301503.1618,0.090909091,5.561352452,0
22,Female,970543,Gold,34515,Other,9,4,0,10,7,0.416416403,144006.8733,2,4.172298227,0
47,Male,868695,Premium,40921,Theft,4,3,0,9,8,0.991686427,93483.06573,0.3,2.28447657,1
47,Male,1948076,Basic,46968,Theft,10,5,0,2,9,0.457362336,147045.4265,0.066666667,3.130757675,1
34,Female,1352702,Premium,27322,Other,5,3,0,1,11,0.702719128,139635.9658,0.058823529,5.110751988,0
65,Male,1984309,Premium,15223,Theft,3,2,1,9,1,0.208641869,61000.29463,0.1875,4.007113883,1
64,Male,1850522,Basic,15273,Theft,6,1,0,5,9,0.930247489,62747.60486,0.106382979,4.108400764,0
40,Female,1414488,Gold,38519,Other,18,5,0,9,2,0.844970842,135753.3227,0.391304348,3.524321053,0
32,Male,1247738,Basic,29160,Collision,6,5,1,5,0,0.447664874,78694.57041,0.333333333,2.698716406,0
54,Female,1879697,Basic,13849,Collision,13,2,1,2,0,0.413616999,27828.22193,0.054054054,2.009402984,0
38,Female,1367213,Premium,54852,Other,16,4,1,8,9,0.489040303,138394.3795,0.380952381,2.523050746,0
31,Female,1107153,Basic,30656,Fire,22,4,0,0,14,0.461132365,97612.15596,0,3.184112603,0
19,Female,817508,Gold,53988,Fire,16,4,1,2,5,0.332245724,139484.7599,1,2.583625247,0
28,Female,1274969,Premium,15348,Theft,12,3,1,0,0,0.991761647,58183.3594,0,3.7909408,0
68,Male,1830344,Gold,22924,Fire,0,0,0,6,4,0.82949181,101678.6935,0.117647059,4.435469093,1
56,Female,1103675,Premium,57184,Theft,1,4,1,1,13,0.341130934,224170.6337,0.025641026,3.920163572,0
55,Male,1728127,Gold,43935,Collision,17,4,1,10,13,0.983552321,102326.1714,0.263157895,2.329035424,1
51,Female,1913043,Basic,44132,Other,3,5,0,10,5,0.113977124,201417.5186,0.294117647,4.56397894,1
55,Female,721397,Basic,6983,Collision,12,1,1,11,8,0.494107873,41716.57417,0.289473684,5.974018927,1
67,Female,992425,Basic,29890,Other,0,1,0,3,5,0.612536677,156827.6634,0.06,5.246827147,0
51,Male,1213845,Gold,19629,Fire,3,2,1,3,13,0.13382796,81712.6378,0.088235294,4.162852809,0
35,Female,1342226,Premium,54056,Collision,1,2,1,7,3,0.244933472,111358.0998,0.388888889,2.060050684,0
47,Female,1766772,Premium,16273,Collision,3,2,1,10,0,0.332317974,40009.52388,0.333333333,2.458644619,0
32,Female,1104027,Premium,59948,Theft,15,4,0,3,5,0.748204352,265378.8276,0.2,4.426817035,0
44,Female,252066,Basic,36739,Other,3,1,1,2,6,0.945769176,119965.9558,0.074074074,3.265357134,0
68,Male,573994,Gold,45416,Fire,8,2,1,9,4,0.662081578,135942.4824,0.176470588,2.993272908,1
51,Female,1264714,Premium,12894,Collision,16,1,1,11,5,0.606395432,61404.70621,0.323529412,4.762269755,1
69,Male,318558,Gold,51073,Other,20,4,1,2,9,0.583083208,98898.78915,0.038461538,1.936420205,0
55,Female,458480,Premium,50693,Fire,22,5,0,4,7,0.415633285,165022.9475,0.105263158,3.255339939,1
50,Male,637743,Basic,56466,Collision,19,4,1,5,0,0.844942912,163278.3462,0.151515152,2.891622325,1
41,Male,1519910,Gold,29343,Other,20,2,1,6,7,0.586690694,150434.2997,0.25,5.126752536,0
32,Female,1326998,Premium,48095,Theft,1,4,1,4,11,0.307092861,117280.914,0.266666667,2.438526125,0
47,Female,1959634,Premium,36174,Collision,2,4,1,6,12,0.223148087,178697.0307,0.2,4.939930079,0
59,Male,1855179,Premium,55801,Other,22,1,0,3,10,0.986961263,204893.3469,0.071428571,3.671857975,1
68,Female,1211214,Premium,49179,Fire,14,0,0,4,1,0.115725894,96377.16979,0.078431373,1.959722032,0
34,Female,229086,Basic,11900,Fire,6,3,0,5,1,0.940096027,72006.6989,0.294117647,6.050983101,0
22,Female,325604,Premium,53905,Theft,3,2,1,8,7,0.296472971,254667.7846,1.6,4.724381497,0
46,Male,1367900,Premium,8800,Collision,11,0,0,5,1,0.691794579,30355.31821,0.172413793,3.449467978,1
21,Female,676785,Basic,40246,Theft,0,5,0,9,7,0.371379273,171021.9714,2.25,4.249415381,0
27,Female,940970,Premium,47735,Other,16,2,0,10,4,0.873829371,260436.1901,1,5.455874936,1
34,Female,1639641,Gold,47926,Fire,3,0,1,0,8,0.58910079,254328.419,0,5.306689875,0
27,Male,203435,Gold,12054,Theft,3,4,1,11,8,0.22695198,73834.51607,1.1,6.125312433,1
34,Female,1408590,Premium,43827,Collision,21,2,0,10,13,0.3428515,214806.8995,0.588235294,4.901245795,0
37,Male,914995,Basic,47727,Other,22,0,1,6,7,0.388286716,137040.9809,0.3,2.871351247,1
41,Female,1670851,Basic,49775,Collision,8,3,1,10,13,0.897330128,293224.1045,0.416666667,5.890991552,1
22,Male,912917,Basic,46201,Theft,20,4,1,10,8,0.790064577,133297.8006,2,2.885171329,1
51,Female,575601,Premium,34373,Fire,9,2,0,2,6,0.846628581,69852.16901,0.058823529,2.032181334,0
23,Female,1038821,Premium,32525,Fire,18,5,1,5,7,0.147026969,186944.6606,0.833333333,5.747722078,1
19,Male,1039446,Gold,43977,Theft,18,5,1,1,5,0.620903985,96852.23992,0.5,2.202338493,0
30,Male,1674618,Basic,12115,Collision,14,2,0,11,14,0.999259237,66949.88916,0.846153846,5.526198032,1
60,Male,492441,Premium,36107,Collision,21,0,1,6,8,0.806679675,134787.9583,0.139534884,3.733014605,1
60,Female,768178,Premium,35486,Collision,16,2,1,0,1,0.208636913,174126.7558,0,4.906914158,0
65,Female,483466,Premium,18068,Collision,6,4,0,1,2,0.710936351,58269.3556,0.020833333,3.225003077,1
28,Female,760027,Basic,23640,Fire,2,1,0,8,1,0.770791439,95446.27885,0.727272727,4.037490645,1
68,Female,1651511,Basic,37158,Collision,4,5,1,8,14,0.56282352,81237.82174,0.156862745,2.186280794,1
64,Male,803841,Gold,41136,Theft,15,0,1,6,5,0.170877833,107402.3822,0.127659574,2.610909719,1
40,Female,208314,Basic,21128,Theft,22,3,1,1,2,0.131217612,104590.1291,0.043478261,4.950309025,1
33,Female,818119,Premium,29942,Theft,6,2,0,4,10,0.944028728,113205.3645,0.25,3.780821738,0
48,Female,1618378,Gold,7827,Theft,15,4,0,3,0,0.331762569,23470.51029,0.096774194,2.998659805,0
28,Female,1022545,Basic,20990,Collision,8,2,1,1,3,0.441071314,65458.46057,0.090909091,3.118554577,1
33,Female,841462,Basic,40255,Fire,0,3,1,1,4,0.815749787,109788.5972,0.0625,2.727328213,1
25,Female,346429,Basic,24987,Other,2,4,1,9,11,0.720334672,112073.6573,1.125,4.485278635,1
21,Female,429937,Basic,57673,Collision,7,3,1,7,10,0.97170913,113877.6848,1.75,1.974540683,1
57,Male,744653,Premium,51115,Other,17,4,0,4,3,0.18355528,130169.8357,0.1,2.546607369,1
21,Female,501173,Basic,25901,Fire,23,1,1,7,5,0.736227617,88627.29344,1.75,3.421771107,1
42,Female,1512457,Premium,21277,Collision,23,5,0,1,2,0.174005967,113413.9459,0.04,5.330354182,1
20,Female,593186,Premium,6643,Other,17,4,0,1,9,0.100148947,32526.24858,0.333333333,4.896319221,0
49,Female,1978568,Premium,55364,Fire,23,3,0,10,5,0.208207204,212215.9976,0.3125,3.8331045,1
20,Male,1858338,Gold,28729,Other,18,0,1,10,9,0.655053263,84522.16801,3.333333333,2.942050472,1
44,Male,540362,Premium,26087,Theft,6,5,0,2,13,0.708573475,106841.347,0.074074074,4.09557814,0
46,Male,979966,Basic,26818,Theft,19,1,0,10,0,0.494505885,154883.7125,0.344827586,5.775364028,1
49,Male,1407147,Gold,5019,Fire,5,2,1,9,14,0.141463639,39397.7256,0.28125,7.849716198,1
67,Male,965387,Basic,38443,Fire,10,1,1,7,5,0.670653452,96002.13629,0.14,2.497259222,0
68,Male,441474,Premium,58629,Other,4,1,0,7,12,0.17723573,338283.8587,0.137254902,5.76990668,1
36,Female,328692,Basic,54760,Fire,11,2,1,2,7,0.227553699,197909.7654,0.105263158,3.614130121,1
38,Male,962790,Gold,54213,Theft,0,4,0,0,9,0.561318116,155115.698,0,2.861226975,1
22,Male,1950093,Gold,14457,Theft,18,1,1,6,13,0.406335944,66294.73498,1.2,4.585649511,0
35,Female,1639131,Basic,38922,Collision,10,5,0,3,12,0.518278535,109936.4925,0.166666667,2.824533491,1
45,Male,1420682,Basic,14820,Other,14,1,0,2,7,0.671569213,30530.52139,0.071428571,2.060089162,0
59,Female,1248870,Basic,37750,Fire,15,0,1,4,0,0.244006333,196942.7145,0.095238095,5.21702555,1
39,Female,1215576,Gold,47586,Fire,2,5,1,11,13,0.903778066,176012.6747,0.5,3.698833158,0
38,Male,1011028,Premium,41484,Fire,10,0,1,5,14,0.603532058,201658.0031,0.238095238,4.861103151,0
23,Female,298185,Basic,43010,Other,10,5,0,0,12,0.119883948,237609.7756,0,5.524523961,0
18,Male,997866,Premium,59711,Theft,9,3,0,11,6,0.665607558,260156.2471,11,4.356923299,0
22,Male,258382,Gold,42790,Fire,1,2,1,11,13,0.516861039,205562.0525,2.2,4.803974118,0
58,Female,1548818,Basic,27869,Fire,19,5,0,8,9,0.7314752,163452.2279,0.195121951,5.86501948,0
29,Female,728943,Basic,55594,Theft,4,5,1,5,9,0.805630261,210260.3115,0.416666667,3.782068415,0
43,Male,807317,Gold,39421,Fire,22,4,0,2,11,0.944960368,118074.5923,0.076923077,2.995220627,1
63,Female,1556948,Basic,7502,Collision,22,4,0,0,3,0.998511215,40401.89877,0,5.385483707,1
51,Female,203771,Premium,57421,Theft,7,3,1,8,13,0.594655294,120478.3429,0.235294118,2.098158215,0
66,Male,1584819,Gold,21665,Theft,12,4,1,1,11,0.605357518,58095.42527,0.020408163,2.681533592,0
31,Male,1893675,Gold,30600,Theft,14,4,0,9,5,0.120200726,103670.7928,0.642857143,3.387934406,0
43,Female,1174303,Basic,34394,Collision,1,0,0,5,5,0.878653426,169190.7884,0.192307692,4.919194871,0
62,Male,1216972,Gold,19086,Theft,11,4,0,5,14,0.125846194,112136.452,0.111111111,5.875324953,1
44,Male,520580,Basic,41171,Other,23,4,0,11,4,0.669398326,154658.5162,0.407407407,3.756491612,0
26,Male,1356355,Basic,39003,Other,7,3,1,2,9,0.188719281,110643.8534,0.222222222,2.836803667,0
43,Male,849179,Gold,58912,Other,20,3,1,10,8,0.357254744,190601.4008,0.384615385,3.235357835,1
64,Male,979085,Basic,18149,Theft,18,1,1,5,10,0.226296598,87386.20882,0.106382979,4.814932438,0
39,Male,1733895,Premium,35394,Theft,22,4,0,1,9,0.223654859,81461.01554,0.045454545,2.301548724,0
64,Male,978760,Premium,19396,Theft,0,4,0,7,7,0.167140884,85565.87009,0.14893617,4.411521452,0
47,Female,756664,Basic,28324,Collision,7,5,0,0,11,0.386093784,114654.2719,0,4.047954805,0
60,Male,1236658,Premium,52198,Other,9,4,0,5,5,0.48128621,236091.6178,0.11627907,4.523001223,0
65,Female,680674,Basic,22169,Fire,12,0,1,0,3,0.518025874,88304.75091,0,3.983253684,0
34,Female,1326500,Premium,51632,Fire,4,5,1,8,12,0.495737236,115472.0506,0.470588235,2.236443496,1
43,Female,753620,Gold,53274,Theft,21,4,1,8,3,0.571322831,240191.2878,0.307692308,4.508602466,1
53,Male,593145,Basic,49277,Collision,8,0,0,5,12,0.873808236,91702.09256,0.138888889,1.860951206,1
18,Male,1819601,Basic,31243,Theft,9,1,1,5,8,0.668616954,107142.1718,5,3.429317665,0
25,Female,593056,Basic,36016,Fire,13,5,1,8,13,0.115557104,132607.7551,1,3.681912346,0
66,Male,289031,Basic,8194,Other,23,2,1,4,11,0.25565705,27613.68068,0.081632653,3.369987879,0
52,Female,1715762,Basic,37398,Fire,10,4,1,8,12,0.41405484,75571.5492,0.228571429,2.020737719,1
69,Male,383024,Basic,9789,Other,13,5,0,4,3,0.954139338,24969.91306,0.076923077,2.55081347,0
32,Male,1531711,Gold,25159,Other,2,3,0,3,12,0.170271458,93152.34301,0.2,3.702545531,1
64,Female,1276048,Gold,48406,Collision,20,5,1,1,6,0.739107336,123647.3497,0.021276596,2.55438065,0
39,Female,259946,Premium,10350,Fire,15,3,1,1,13,0.129783819,26380.78847,0.045454545,2.548868451,0
31,Female,1747358,Basic,38301,Theft,19,4,1,0,5,0.426283452,99233.83458,0,2.590894091,0
43,Male,1144353,Premium,29977,Collision,16,0,1,9,1,0.793133887,122375.5309,0.346153846,4.082314137,1
45,Female,1512261,Premium,41431,Other,4,3,1,2,4,0.409536403,190136.7169,0.071428571,4.589237936,0
40,Male,853525,Gold,5129,Fire,6,5,0,0,2,0.487253854,17146.11964,0,3.342975168,1
31,Male,1251341,Premium,50331,Theft,16,5,1,5,8,0.914774075,210438.1013,0.357142857,4.181083255,0
41,Male,505218,Gold,57111,Collision,19,3,1,10,9,0.159552182,241493.8092,0.416666667,4.22849905,0
19,Female,564939,Premium,39626,Theft,21,1,1,6,0,0.574896093,210508.4347,3,5.312381637,1
62,Female,1933219,Basic,53503,Fire,10,1,0,8,9,0.429613803,135147.0272,0.177777778,2.525971014,1
43,Female,1874251,Premium,32549,Theft,11,1,0,6,3,0.967430504,121352.838,0.230769231,3.72831233,0
31,Male,693377,Gold,17342,Collision,23,3,0,3,12,0.814320846,80341.76482,0.214285714,4.632785424,1
68,Male,1921742,Gold,41417,Theft,1,3,0,3,3,0.2098691,154226.8581,0.058823529,3.72375735,1
24,Female,1208022,Gold,15978,Fire,18,5,0,7,8,0.934668781,67249.23144,1,4.208864153,1
20,Male,873616,Premium,57249,Collision,4,4,1,3,13,0.290091968,319791.7132,1,5.585979025,1
64,Male,566047,Premium,57664,Other,10,4,1,0,0,0.176335879,303777.143,0,5.268055338,0
40,Female,718790,Gold,42628,Collision,22,0,0,8,1,0.587433952,180702.4908,0.347826087,4.239056274,1
63,Female,1398301,Basic,47180,Fire,18,3,0,2,0,0.762968413,156726.7279,0.043478261,3.321889103,1
60,Female,1876443,Basic,13833,Theft,6,4,0,0,12,0.744445801,68546.30354,0,4.955273877,0
64,Male,1728461,Premium,51903,Other,20,4,1,8,0,0.580650462,196345.9086,0.170212766,3.782939494,1
62,Male,239339,Premium,38491,Other,21,1,0,10,11,0.543463727,231518.3812,0.222222222,6.01487052,1
35,Male,1667549,Gold,34473,Theft,5,1,0,10,13,0.972589508,167794.7655,0.555555556,4.867425681,0
55,Male,504543,Premium,5737,Fire,10,1,0,9,12,0.838502958,29669.63705,0.236842105,5.171629257,1
52,Male,1215109,Premium,34429,Collision,13,2,1,9,0,0.728776034,120493.0277,0.257142857,3.499753919,1
68,Female,1656498,Gold,51647,Fire,3,4,0,4,2,0.275690317,235334.4234,0.078431373,4.556594253,0
32,Male,1800773,Gold,6299,Other,7,1,1,11,10,0.837793622,52172.83548,0.733333333,8.282717174,0
42,Male,718993,Premium,57632,Collision,8,1,1,8,13,0.774802669,292452.4441,0.32,5.074480221,0
54,Male,1194135,Basic,5339,Collision,1,3,1,2,3,0.99282394,33378.38884,0.054054054,6.251805364,0
45,Female,912932,Premium,37920,Theft,10,5,1,5,9,0.219695597,143069.7967,0.178571429,3.772937676,0
27,Female,1727671,Basic,59836,Fire,19,1,1,10,1,0.743765856,138778.2062,1,2.319309549,1
56,Female,1181271,Basic,47381,Collision,21,3,0,11,13,0.981174874,217687.2366,0.282051282,4.594399372,1
34,Male,1406117,Basic,51523,Theft,6,0,1,10,0,0.516333725,106865.2838,0.588235294,2.074127744,1
56,Female,332385,Gold,53750,Fire,3,1,1,11,4,0.760069399,308432.5104,0.282051282,5.738279264,0
39,Female,1649639,Gold,24435,Other,23,5,1,6,5,0.977833585,122291.5223,0.272727273,5.004768663,1
43,Female,1192206,Gold,38194,Other,13,3,0,4,1,0.592736405,213839.6958,0.153846154,5.598777184,0
61,Male,341002,Premium,29509,Fire,23,5,1,11,2,0.729137435,106292.934,0.25,3.602051376,1
42,Female,203285,Gold,47095,Collision,0,1,1,7,9,0.118076329,88618.2814,0.28,1.881691929,0
34,Male,585781,Gold,56524,Collision,23,0,1,9,2,0.567698595,217147.5156,0.529411765,3.841686993,1
30,Male,760151,Premium,49289,Other,11,1,0,5,1,0.330220365,105825.509,0.384615385,2.147041105,0
37,Female,1396352,Premium,55101,Other,18,3,1,11,3,0.218120178,250444.1629,0.55,4.545183624,0
42,Male,1136209,Basic,6373,Collision,4,0,1,5,13,0.737738276,36243.08092,0.2,5.686973313,1
21,Female,1904491,Premium,12082,Fire,7,0,1,6,4,0.13518054,65535.58547,1.5,5.424233195,0
27,Male,1794187,Premium,30532,Other,10,0,1,7,7,0.914378636,95345.64954,0.7,3.122810479,1
20,Female,1581688,Gold,47661,Collision,21,2,1,11,5,0.565996294,248566.9398,3.666666667,5.215311048,1
58,Female,1302491,Basic,23866,Fire,3,3,1,1,14,0.683407104,106428.9326,0.024390244,4.459437382,1
62,Female,571687,Basic,12593,Theft,14,2,1,6,8,0.328091319,81642.41416,0.133333333,6.483158434,1
35,Male,865979,Premium,14495,Fire,19,5,0,8,2,0.263973717,45095.23675,0.444444444,3.111089117,0
64,Female,1452038,Gold,54522,Collision,11,0,0,0,9,0.319378259,97443.16321,0,1.7872265,0
53,Male,984278,Gold,12837,Fire,19,2,0,11,8,0.309063692,83455.21223,0.305555556,6.50114608,1
64,Female,707553,Gold,16172,Collision,21,1,1,0,10,0.878051465,51151.7368,0,3.162981499,0
39,Male,1176778,Gold,23680,Other,22,2,0,6,13,0.808605461,91867.6556,0.272727273,3.879546267,1
51,Male,1714965,Premium,35346,Theft,20,4,1,4,10,0.867462881,194893.6816,0.117647059,5.513882238,0
64,Female,573410,Gold,48085,Other,9,5,0,0,3,0.761384839,158391.1248,0,3.293982007,0
25,Female,1013171,Basic,28412,Other,23,0,0,0,7,0.679195325,79987.27199,0,2.815263691,1
57,Female,640924,Basic,27863,Collision,15,0,1,1,9,0.575087221,54425.39186,0.025,1.953321317,1
66,Female,1900905,Premium,58297,Collision,22,5,1,10,6,0.338933644,208732.7058,0.204081633,3.5805051,0
61,Female,1301595,Gold,35804,Collision,7,5,1,9,13,0.734826662,167505.5377,0.204545455,4.678402909,1
36,Male,1455802,Gold,15934,Collision,19,3,1,8,6,0.222925965,56057.14148,0.421052632,3.518083437,1
59,Female,1481745,Gold,35723,Other,7,1,1,11,8,0.559955389,176649.4336,0.261904762,4.944977567,0
58,Female,731661,Gold,25405,Collision,5,5,0,11,9,0.275747292,107708.6824,0.268292683,4.239664727,0
54,Male,1939217,Premium,23748,Collision,2,5,1,2,13,0.554283374,126635.3279,0.054054054,5.332462856,0
23,Female,1793051,Gold,10230,Other,7,3,0,8,14,0.364516672,40963.29737,1.333333333,4.004232392,0
69,Female,822215,Premium,51413,Theft,22,5,0,5,1,0.148131703,240814.4469,0.096153846,4.683921322,0
43,Male,546229,Gold,27354,Theft,9,2,1,9,4,0.553338112,158567.1727,0.346153846,5.796855039,1
51,Female,1366572,Gold,13954,Fire,4,4,0,5,2,0.263647188,70812.8672,0.147058824,5.074736076,0
62,Female,763508,Basic,28139,Other,10,4,0,6,6,0.245039529,99899.18201,0.133333333,3.550203703,0
23,Female,592647,Premium,50022,Collision,3,4,1,9,2,0.445929308,135644.4335,1.5,2.711695524,1
54,Male,1764547,Basic,22388,Fire,16,5,1,10,4,0.425608442,59390.9989,0.27027027,2.652805025,1
50,Female,731930,Premium,44825,Theft,2,4,0,7,4,0.880262079,194914.3868,0.212121212,4.348341033,1
39,Male,279971,Gold,41523,Theft,17,1,0,10,1,0.608173321,101511.459,0.454545455,2.444704356,1
38,Female,1828420,Gold,40614,Other,7,2,0,2,10,0.869110685,205108.5172,0.095238095,5.050192475,0
23,Male,1675552,Premium,40732,Collision,23,4,1,7,0,0.232152089,228129.0138,1.166666667,5.60073195,1
23,Female,1766049,Basic,46646,Collision,11,0,1,5,11,0.421579243,108305.088,0.833333333,2.321851564,1
65,Male,597597,Premium,26021,Fire,20,5,1,5,5,0.599796656,88172.59537,0.104166667,3.388516789,1
21,Male,951943,Premium,32702,Theft,15,2,0,10,12,0.237815262,192655.6896,2.5,5.891250981,1
47,Male,1661350,Gold,50416,Fire,13,1,1,2,0,0.21525136,173548.1689,0.066666667,3.442323248,0
